Feature,Importance
humidity cloud,8.807928879794424
cloud^2,8.690757161835494
cloud,8.376894444942845
humidity,7.761300891310787
rainfall_potential,6.380108317014404
pressure cloud,6.107943964590663
heavy_cloud,5.974846988791697
cloud_humidity,4.988927526133927
sunshine,4.330805293470438
humidity^2,3.8812442744282767
cloud_overcast,3.7717460971993737
humidity pressure,3.5344229604279
dewpoint,2.5702962405109044
maxtemp,2.476933912779456
vapor_pressure,2.3922454027539786
high_humidity,2.214148498663751
windspeed cloud,2.2010225549851734
temp_range,1.8457608731052586
pressure,1.664935168675648
mintemp,1.2248865866403473
humidity windspeed,1.216598388184249
windspeed,1.1470392290883993
pressure^2,1.025278017256974
temparature,1.0130466279136239
pressure_drop,0.9113775522673124
humidity_high,0.883448344426611
day,0.8213075723306673
winddirection,0.7170733119586972
wind_y,0.6772004957396495
cloud_mostly_cloudy,0.5914244309564717
pressure windspeed,0.5177342623663529
wind_x,0.37836833400183106
humidity_low,0.3237663580793893
windspeed^2,0.31950488932101645
cloud_clear,0.18797523968400215
strong_wind,0.07170090837000925
cloud_partly_cloudy,0.0
humidity_moderate,0.0
humidity_very_low,0.0
